window_seconds,model,feature_set,fold,class,precision,recall,f1-score,support
4.0,logistic_regression,stats,3,weighted avg,0.5642626568157056,0.5597994396106769,0.5457007774626339,13562.0
4.0,logistic_regression,stats,4,locomotion,0.9313052011776252,0.6150356448476992,0.7408274785323966,1543.0
4.0,logistic_regression,stats,4,stairs,0.5003503854239664,0.816,0.6203301476976543,875.0
4.0,logistic_regression,stats,4,static,0.17455621301775148,0.3644787644787645,0.23605901475368843,1295.0
4.0,logistic_regression,stats,4,eat_drink,0.46347826086956523,0.43820224719101125,0.4504859839414002,3649.0
4.0,logistic_regression,stats,4,sports,0.7597156398104266,0.7124444444444444,0.7353211009174312,2250.0
4.0,logistic_regression,stats,4,upper_body,0.5085091899251192,0.3701684836471754,0.42844852308574705,4036.0
4.0,logistic_regression,stats,4,accuracy,0.5005128956623681,0.5005128956623681,0.5005128956623681,0.5005128956623681
4.0,logistic_regression,stats,4,macro avg,0.5563191483707423,0.552721597434849,0.5352453748213863,13648.0
4.0,logistic_regression,stats,4,weighted avg,0.5534727624959934,0.5005128956623681,0.5142948545103624,13648.0
4.0,logistic_regression,stats,5,locomotion,0.8168822328114363,0.78125,0.7986688851913477,1536.0
4.0,logistic_regression,stats,5,stairs,0.5337954939341422,0.8301886792452831,0.6497890295358649,742.0
4.0,logistic_regression,stats,5,static,0.2895460797799175,0.5156154317207593,0.3708434265580269,1633.0
4.0,logistic_regression,stats,5,eat_drink,0.5080729166666667,0.4839990076903994,0.4957438699021725,4031.0
4.0,logistic_regression,stats,5,sports,0.7012932832707551,0.7538116591928251,0.7266047114761184,2230.0
4.0,logistic_regression,stats,5,upper_body,0.3650371944739639,0.19752731454859115,0.2563432835820896,3478.0
4.0,logistic_regression,stats,5,accuracy,0.5111355311355311,0.5111355311355311,0.5111355311355311,0.5111355311355311
4.0,logistic_regression,stats,5,macro avg,0.5357712001561469,0.5937320153996429,0.54966553437427,13650.0
4.0,logistic_regression,stats,5,weighted avg,0.5131986392333824,0.5111355311355311,0.49997949960473914,13650.0
4.0,random_forest,stats,1,locomotion,0.9052631578947369,0.8374531835205993,0.8700389105058366,1335.0
4.0,random_forest,stats,1,stairs,0.7411402157164869,0.7147102526002972,0.7276853252647504,673.0
4.0,random_forest,stats,1,static,0.4083969465648855,0.33126934984520123,0.3658119658119658,1615.0
4.0,random_forest,stats,1,eat_drink,0.5065746928217288,0.5891200802206067,0.5447380621233194,3989.0
4.0,random_forest,stats,1,sports,0.746793349168646,0.7987804878048781,0.7719125951387183,1968.0
4.0,random_forest,stats,1,upper_body,0.43251449075351917,0.39361969354433557,0.41215149921094163,3981.0
4.0,random_forest,stats,1,accuracy,0.5621266868225057,0.5621266868225057,0.5621266868225057,0.5621266868225057
4.0,random_forest,stats,1,macro avg,0.623447142153334,0.610825507922653,0.6153897263425887,13561.0
4.0,random_forest,stats,1,weighted avg,0.5588917261402914,0.5621266868225057,0.5585782560000347,13561.0
4.0,random_forest,stats,2,locomotion,0.8990203466465713,0.882396449704142,0.8906308324001493,1352.0
4.0,random_forest,stats,2,stairs,0.752895752895753,0.7548387096774194,0.7538659793814433,775.0
4.0,random_forest,stats,2,static,0.4423828125,0.2504145936981758,0.3198023296858454,1809.0
4.0,random_forest,stats,2,eat_drink,0.4457561571341339,0.6144781144781145,0.5166922260233573,3564.0
4.0,random_forest,stats,2,sports,0.8038815117466803,0.7629665535627727,0.7828898284008953,2063.0
4.0,random_forest,stats,2,upper_body,0.4763200870985302,0.4257907542579075,0.44964028776978415,4110.0
4.0,random_forest,stats,2,accuracy,0.5664448182549551,0.5664448182549551,0.5664448182549551,0.5664448182549551
4.0,random_forest,stats,2,macro avg,0.636709444670278,0.6151475292297552,0.6189202472769125,13673.0
4.0,random_forest,stats,2,weighted avg,0.570759766379528,0.5664448182549551,0.5610704180574431,13673.0
4.0,random_forest,stats,3,locomotion,0.8883647798742138,0.8382789317507419,0.8625954198473282,1348.0
4.0,random_forest,stats,3,stairs,0.7740213523131673,0.6482861400894188,0.7055961070559611,671.0
4.0,random_forest,stats,3,static,0.7512291052114061,0.44212962962962965,0.556648451730419,1728.0
4.0,random_forest,stats,3,eat_drink,0.5214794837218263,0.6928589710775531,0.5950758408441416,3907.0
4.0,random_forest,stats,3,sports,0.7315662650602409,0.8192120885051268,0.7729124236252546,1853.0
4.0,random_forest,stats,3,upper_body,0.451088534107402,0.3832305795314427,0.4144,4055.0
4.0,random_forest,stats,3,accuracy,0.5978469252322667,0.5978469252322667,0.5978469252322667,0.5978469252322667
4.0,random_forest,stats,3,macro avg,0.6862915867147095,0.6373327234306522,0.6512047071838508,13562.0
4.0,random_forest,stats,3,weighted avg,0.6073724068973014,0.5978469252322667,0.5925145383818442,13562.0
4.0,random_forest,stats,4,locomotion,0.9482312338222606,0.712248865845755,0.8134715025906736,1543.0
4.0,random_forest,stats,4,stairs,0.5487804878048781,0.6685714285714286,0.6027820710973725,875.0
4.0,random_forest,stats,4,static,0.16751269035532995,0.1783783783783784,0.17277486910994763,1295.0
4.0,random_forest,stats,4,eat_drink,0.42334152334152336,0.4721841600438476,0.44643088482964116,3649.0
4.0,random_forest,stats,4,sports,0.7268226822682268,0.7177777777777777,0.7222719141323792,2250.0
4.0,random_forest,stats,4,upper_body,0.48933901918976547,0.45490584737363726,0.4714946070878274,4036.0
4.0,random_forest,stats,4,accuracy,0.5194167643610785,0.5194167643610785,0.5194167643610785,0.5194167643610785
4.0,random_forest,stats,4,macro avg,0.5506712727969973,0.534011076331804,0.5382043081413069,13648.0
4.0,random_forest,stats,4,weighted avg,0.5360000871815498,0.5194167643610785,0.5248721157644107,13648.0
4.0,random_forest,stats,5,locomotion,0.8918169209431346,0.8372395833333334,0.8636668905305575,1536.0
4.0,random_forest,stats,5,stairs,0.6694411414982164,0.7587601078167115,0.7113076437144662,742.0
4.0,random_forest,stats,5,static,0.5447368421052632,0.2535211267605634,0.3460091934809862,1633.0
4.0,random_forest,stats,5,eat_drink,0.5637755102040817,0.6579012651947408,0.6072123640526617,4031.0
4.0,random_forest,stats,5,sports,0.7477436823104693,0.7430493273542601,0.7453891138101665,2230.0
4.0,random_forest,stats,5,upper_body,0.35557363710333606,0.37694077055779185,0.3659455687369156,3478.0
4.0,random_forest,stats,5,accuracy,0.5775091575091575,0.5775091575091575,0.5775091575091575,0.5775091575091575
4.0,random_forest,stats,5,macro avg,0.6288479556940836,0.6045686968362335,0.6065884623876255,13650.0
4.0,random_forest,stats,5,weighted avg,0.5811607314101559,0.5775091575091575,0.5715798593264076,13650.0
4.0,lightgbm,stats_freq,1,locomotion,0.9744612928970471,0.9146067415730337,0.9435857805255023,1335.0
4.0,lightgbm,stats_freq,1,stairs,0.8571428571428571,0.8915304606240714,0.8739985433357611,673.0
4.0,lightgbm,stats_freq,1,static,0.36374337845791643,0.3826625386996904,0.37296318648159327,1615.0
4.0,lightgbm,stats_freq,1,eat_drink,0.5682314410480349,0.5219353221358737,0.5441003528028224,3989.0
4.0,lightgbm,stats_freq,1,sports,0.8367670364500792,0.8048780487804879,0.8205128205128205,1968.0
4.0,lightgbm,stats_freq,1,upper_body,0.5082720588235294,0.5556392866114042,0.530901236049442,3981.0
4.0,lightgbm,stats_freq,1,accuracy,0.6133028537718457,0.6133028537718457,0.6133028537718457,0.6133028537718457
4.0,lightgbm,stats_freq,1,macro avg,0.6847696774699106,0.6785420664040935,0.6810103199513237,13561.0
4.0,lightgbm,stats_freq,1,weighted avg,0.6195761623283735,0.6133028537718457,0.6156571743711233,13561.0
4.0,lightgbm,stats_freq,2,locomotion,0.888715953307393,0.8446745562130178,0.8661357603337125,1352.0
4.0,lightgbm,stats_freq,2,stairs,0.7150537634408602,0.8580645161290322,0.7800586510263929,775.0
4.0,lightgbm,stats_freq,2,static,0.44239226033421286,0.27805417357656165,0.34147997284453496,1809.0
4.0,lightgbm,stats_freq,2,eat_drink,0.5194831829368335,0.7107182940516273,0.6002369668246446,3564.0
4.0,lightgbm,stats_freq,2,sports,0.847237269772481,0.7581192438196801,0.8002046559222308,2063.0
4.0,lightgbm,stats_freq,2,upper_body,0.6098916365657127,0.5340632603406326,0.5694642625502659,4110.0
4.0,lightgbm,stats_freq,2,accuracy,0.6291230893000804,0.6291230893000804,0.6291230893000804,0.6291230893000804
4.0,lightgbm,stats_freq,2,macro avg,0.6704623443929155,0.6639490073550919,0.6595967115836302,13673.0
4.0,lightgbm,stats_freq,2,weighted avg,0.6335070147221118,0.6291230893000804,0.6234084068898256,13673.0
4.0,lightgbm,stats_freq,3,locomotion,0.9491654021244309,0.9280415430267063,0.9384846211552889,1348.0
4.0,lightgbm,stats_freq,3,stairs,0.8846815834767642,0.7660208643815202,0.8210862619808307,671.0
4.0,lightgbm,stats_freq,3,static,0.5892370572207084,0.5005787037037037,0.5413016270337923,1728.0
4.0,lightgbm,stats_freq,3,eat_drink,0.5872611464968153,0.7079600716662401,0.6419867703377046,3907.0
4.0,lightgbm,stats_freq,3,sports,0.7798525798525798,0.8564490016189962,0.816358024691358,1853.0
4.0,lightgbm,stats_freq,3,upper_body,0.5388405797101449,0.4584463625154131,0.4954030646235843,4055.0
4.0,lightgbm,stats_freq,3,accuracy,0.6519687361746055,0.6519687361746055,0.6519687361746055,0.6519687361746055
4.0,lightgbm,stats_freq,3,macro avg,0.7215063914802405,0.7029160911520965,0.7091033949704264,13562.0
4.0,lightgbm,stats_freq,3,weighted avg,0.6500363235517291,0.6519687361746055,0.6474862498991293,13562.0
4.0,lightgbm,stats_freq,4,locomotion,0.9729514717581543,0.7926117952041478,0.8735714285714286,1543.0
4.0,lightgbm,stats_freq,4,stairs,0.6594982078853047,0.8411428571428572,0.7393269713711703,875.0
4.0,lightgbm,stats_freq,4,static,0.19102416570771003,0.25637065637065637,0.21892515661061654,1295.0
4.0,lightgbm,stats_freq,4,eat_drink,0.49087278950370794,0.4716360646752535,0.48106219426974145,3649.0
4.0,lightgbm,stats_freq,4,sports,0.8091208274565115,0.7648888888888888,0.7863833676033813,2250.0
4.0,lightgbm,stats_freq,4,upper_body,0.5271516393442623,0.5099108027750248,0.5183879093198992,4036.0
4.0,lightgbm,stats_freq,4,accuracy,0.5708528722157092,0.5708528722157092,0.5708528722157092,0.5708528722157092
4.0,lightgbm,stats_freq,4,macro avg,0.6084365169426085,0.6060935108428047,0.6029428379577062,13648.0
4.0,lightgbm,stats_freq,4,weighted avg,0.5909292229252332,0.5708528722157092,0.5784958981579166,13648.0
4.0,lightgbm,stats_freq,5,locomotion,0.9318651066758431,0.8815104166666666,0.90598862495818,1536.0
4.0,lightgbm,stats_freq,5,stairs,0.7788697788697788,0.8544474393530997,0.8149100257069408,742.0
4.0,lightgbm,stats_freq,5,static,0.4372852233676976,0.31169626454378446,0.36396138720057203,1633.0
4.0,lightgbm,stats_freq,5,eat_drink,0.6344827586206897,0.6618705035971223,0.647887323943662,4031.0
4.0,lightgbm,stats_freq,5,sports,0.7818261633011413,0.7986547085201794,0.790150842945874,2230.0
4.0,lightgbm,stats_freq,5,upper_body,0.42987152034261245,0.46175963197239794,0.4452453562517327,3478.0
4.0,lightgbm,stats_freq,5,accuracy,0.6265201465201465,0.6265201465201465,0.6265201465201465,0.6265201465201465
4.0,lightgbm,stats_freq,5,macro avg,0.6657000918629604,0.6616564941088751,0.6613572601678269,13650.0
4.0,lightgbm,stats_freq,5,weighted avg,0.6241405451610309,0.6265201465201465,0.623651592962533,13650.0
4.0,xgboost,stats_freq,1,locomotion,0.9448584202682563,0.949812734082397,0.9473290997385133,1335.0
4.0,xgboost,stats_freq,1,stairs,0.889937106918239,0.8410104011887073,0.8647822765469825,673.0
4.0,xgboost,stats_freq,1,static,0.42973977695167287,0.35789473684210527,0.39054054054054055,1615.0
4.0,xgboost,stats_freq,1,eat_drink,0.5718270571827058,0.5139132614690398,0.5413255875363084,3989.0
4.0,xgboost,stats_freq,1,sports,0.8449023861171366,0.7916666666666666,0.8174186778593914,1968.0
4.0,xgboost,stats_freq,1,upper_body,0.5177791640673737,0.6254709871891485,0.5665529010238908,3981.0
4.0,xgboost,stats_freq,1,accuracy,0.6275348425632328,0.6275348425632328,0.6275348425632328,0.6275348425632328
4.0,xgboost,stats_freq,1,macro avg,0.6998406519175641,0.6799614645730108,0.687991513874271,13561.0
4.0,xgboost,stats_freq,1,weighted avg,0.6311782525568617,0.6275348425632328,0.6268623714273087,13561.0
4.0,xgboost,stats_freq,2,locomotion,0.8983708301008534,0.856508875739645,0.8769405528209012,1352.0
4.0,xgboost,stats_freq,2,stairs,0.7217787913340935,0.8167741935483871,0.7663438256658596,775.0
4.0,xgboost,stats_freq,2,static,0.5472972972972973,0.26865671641791045,0.3604004449388209,1809.0
4.0,xgboost,stats_freq,2,eat_drink,0.5252861602497398,0.7081930415263749,0.6031783964631378,3564.0
4.0,xgboost,stats_freq,2,sports,0.8294086865515437,0.7682985942801746,0.79768495218923,2063.0
4.0,xgboost,stats_freq,2,upper_body,0.5862157314885985,0.55669099756691,0.5710720079870211,4110.0
4.0,xgboost,stats_freq,2,accuracy,0.6343889417099393,0.6343889417099393,0.6343889417099393,0.6343889417099393
4.0,xgboost,stats_freq,2,macro avg,0.6847262495036878,0.6625204031799004,0.6626033633441617,13673.0
4.0,xgboost,stats_freq,2,weighted avg,0.6404280983174969,0.6343889417099393,0.6270725013813272,13673.0
4.0,xgboost,stats_freq,3,locomotion,0.931314623338257,0.935459940652819,0.9333826794966691,1348.0
4.0,xgboost,stats_freq,3,stairs,0.900562851782364,0.7153502235469449,0.7973421926910299,671.0
4.0,xgboost,stats_freq,3,static,0.7358490566037735,0.40625,0.5234899328859061,1728.0
4.0,xgboost,stats_freq,3,eat_drink,0.5894824360839742,0.7258766316867161,0.6506079376003671,3907.0
4.0,xgboost,stats_freq,3,sports,0.769377990430622,0.8677819751753912,0.8156226223687547,1853.0
4.0,xgboost,stats_freq,3,upper_body,0.5520942408376963,0.5200986436498151,0.5356190476190477,4055.0
4.0,xgboost,stats_freq,3,accuracy,0.6633239935112816,0.6633239935112816,0.6633239935112816,0.6633239935112816
4.0,xgboost,stats_freq,3,macro avg,0.7464468665127812,0.6951362357852812,0.7093440687769624,13562.0
4.0,xgboost,stats_freq,3,weighted avg,0.6708998964947755,0.6633239935112816,0.6579425038219446,13562.0
4.0,xgboost,stats_freq,4,locomotion,0.9703422053231939,0.8269604666234608,0.8929321203638908,1543.0
4.0,xgboost,stats_freq,4,stairs,0.6909090909090909,0.8251428571428572,0.7520833333333333,875.0
4.0,xgboost,stats_freq,4,static,0.20392953929539295,0.23243243243243245,0.21725009022013714,1295.0
4.0,xgboost,stats_freq,4,eat_drink,0.4818949909474955,0.4376541518224171,0.4587103260089042,3649.0
4.0,xgboost,stats_freq,4,sports,0.7977011494252874,0.7711111111111111,0.784180790960452,2250.0
4.0,xgboost,stats_freq,4,upper_body,0.537589636826278,0.5758176412289395,0.5560473740878096,4036.0
4.0,xgboost,stats_freq,4,accuracy,0.582869284876905,0.582869284876905,0.582869284876905,0.582869284876905
4.0,xgboost,stats_freq,4,macro avg,0.6137277687877898,0.6115197767268697,0.6102006724957545,13648.0
4.0,xgboost,stats_freq,4,weighted avg,0.5926763198382066,0.582869284876905,0.5861411200402357,13648.0
4.0,xgboost,stats_freq,5,locomotion,0.9232753062540296,0.9322916666666666,0.9277615808228054,1536.0
4.0,xgboost,stats_freq,5,stairs,0.81282722513089,0.8369272237196765,0.8247011952191236,742.0
4.0,xgboost,stats_freq,5,static,0.5565326633165829,0.27127985303123087,0.36475916014820914,1633.0
4.0,xgboost,stats_freq,5,eat_drink,0.6464114832535885,0.670305135202183,0.6581415174765558,4031.0
4.0,xgboost,stats_freq,5,sports,0.7896368467670505,0.7995515695067265,0.7945632798573975,2230.0
4.0,xgboost,stats_freq,5,upper_body,0.4615947329919532,0.5442783208740656,0.4995381976514052,3478.0
4.0,xgboost,stats_freq,5,accuracy,0.6501098901098901,0.6501098901098901,0.6501098901098901,0.6501098901098901
4.0,xgboost,stats_freq,5,macro avg,0.6983797096190157,0.6757722948334249,0.6782441551959161,13650.0
4.0,xgboost,stats_freq,5,weighted avg,0.6521676080059371,0.6501098901098901,0.6443121030021997,13650.0
