,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,0,0,0,0,0,1543
stairs,0,0,0,0,0,875
static,0,0,0,0,0,1295
eat_drink,0,0,0,0,0,3649
sports,0,0,0,0,0,2250
upper_body,0,0,0,0,0,4036
