,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1251,54,0,0,40,3
stairs,44,514,0,0,85,28
static,0,1,865,326,28,508
eat_drink,0,0,295,2766,1,845
sports,21,8,20,10,1587,207
upper_body,2,4,288,1608,294,1859
