,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1223,280,0,0,38,2
stairs,28,736,0,1,105,5
static,0,0,332,604,10,349
eat_drink,0,0,766,1721,12,1150
sports,2,85,69,33,1721,340
upper_body,4,15,571,1147,241,2058
