,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,0,0,0,1352,0,0
stairs,0,0,0,775,0,0
static,0,0,0,1809,0,0
eat_drink,0,0,0,3564,0,0
sports,0,0,0,2063,0,0
upper_body,0,0,0,4110,0,0
