,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1236,55,0,0,43,1
stairs,102,480,0,0,91,0
static,0,7,989,301,81,237
eat_drink,0,0,1556,1620,74,739
sports,36,59,90,1,1592,190
upper_body,0,1,1624,1023,344,989
