,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,0,0,0,0,0,1335
stairs,0,0,0,0,0,673
static,0,0,0,0,0,1615
eat_drink,0,0,0,0,0,3989
sports,0,0,0,0,0,1968
upper_body,0,0,0,0,0,3981
