,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1071,130,11,1,130,5
stairs,104,495,0,0,63,9
static,0,0,887,504,66,271
eat_drink,0,0,743,2532,35,597
sports,76,36,73,1,1530,137
upper_body,7,45,727,1818,381,1077
