,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1221,72,1,0,41,0
stairs,15,600,0,0,58,0
static,0,0,618,458,38,501
eat_drink,0,0,579,2082,10,1318
sports,17,28,6,12,1584,321
upper_body,0,0,495,1112,162,2212
