,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1099,374,0,0,68,2
stairs,46,585,0,2,239,3
static,0,0,231,749,11,304
eat_drink,0,0,734,1723,13,1179
sports,13,94,32,68,1615,428
upper_body,1,13,382,1528,276,1836
