,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1261,42,0,0,44,1
stairs,66,480,0,0,101,24
static,1,0,702,383,30,612
eat_drink,0,0,174,2836,1,896
sports,23,8,8,28,1608,178
upper_body,3,3,70,1564,306,2109
