,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,949,548,0,0,37,9
stairs,33,714,4,6,97,21
static,0,0,472,582,18,223
eat_drink,0,2,1010,1599,26,1012
sports,35,147,192,94,1603,179
upper_body,2,16,1026,1169,329,1494
