,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1142,174,1,1,28,6
stairs,54,665,0,2,51,3
static,0,1,503,915,50,340
eat_drink,0,0,169,2533,13,849
sports,87,81,87,38,1564,206
upper_body,2,9,377,1387,140,2195
