,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1268,47,0,1,19,0
stairs,47,566,0,0,60,0
static,0,1,578,472,38,526
eat_drink,0,0,471,2050,14,1454
sports,27,22,0,22,1558,339
upper_body,0,0,296,1040,155,2490
