,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1130,116,0,0,102,0
stairs,115,435,0,0,102,19
static,0,0,764,358,33,573
eat_drink,0,0,190,2707,6,1004
sports,27,9,0,4,1518,295
upper_body,0,2,63,2122,314,1554
