,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1045,207,0,2,92,6
stairs,68,661,1,2,36,7
static,0,1,746,742,76,244
eat_drink,0,14,237,2045,23,1245
sports,44,203,88,11,1394,323
upper_body,15,35,727,2000,239,1094
