,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1354,119,0,0,63,0
stairs,61,634,0,0,44,3
static,0,0,509,452,35,637
eat_drink,11,6,125,2668,81,1140
sports,23,41,23,12,1781,350
upper_body,4,14,507,1073,274,1606
