,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1432,82,0,0,22,0
stairs,71,621,0,0,47,3
static,0,1,443,440,37,712
eat_drink,13,5,83,2702,87,1141
sports,27,41,10,17,1783,352
upper_body,8,14,260,1021,282,1893
