,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1118,138,0,0,79,0
stairs,88,481,0,0,104,0
static,0,0,535,541,70,469
eat_drink,0,0,260,2350,71,1308
sports,29,30,0,58,1572,279
upper_body,0,0,515,1690,209,1567
