,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1158,151,0,1,34,8
stairs,72,633,0,2,65,3
static,0,1,486,840,57,425
eat_drink,0,0,112,2524,22,906
sports,59,81,25,40,1585,273
upper_body,0,11,265,1398,148,2288
