,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1276,227,0,0,36,4
stairs,28,722,0,3,117,5
static,0,1,301,634,7,352
eat_drink,0,0,772,1597,20,1260
sports,6,78,31,22,1735,378
upper_body,5,17,372,1058,260,2324
