,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1286,213,0,0,37,0
stairs,98,563,0,0,80,1
static,1,0,414,499,33,686
eat_drink,5,9,64,2652,91,1210
sports,52,19,11,12,1657,479
upper_body,0,37,271,1541,318,1311
