,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1200,299,0,0,37,0
stairs,116,616,0,0,9,1
static,0,1,842,478,59,253
eat_drink,4,9,1149,1951,141,777
sports,106,122,148,9,1681,164
upper_body,43,107,769,1402,470,687
