,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1193,121,0,0,29,9
stairs,90,585,0,1,95,4
static,0,0,453,885,51,420
eat_drink,0,0,200,2190,17,1157
sports,44,68,24,19,1574,334
upper_body,0,3,347,1818,192,1750
