,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,0,0,0,0,0,1348
stairs,0,0,0,0,0,671
static,0,0,0,0,0,1728
eat_drink,0,0,0,0,0,3907
sports,0,0,0,0,0,1853
upper_body,0,0,0,0,0,4055
