window_seconds,modality,fold,class,precision,recall,f1-score,support
2.0,accel,3,eat_drink,0.5360696517412935,0.6486523464222191,0.5870117006128892,7309.0
2.0,accel,3,sports,0.6599199288256228,0.7509491268033409,0.7024979282585533,3951.0
2.0,accel,3,upper_body,0.4843402361800445,0.34407294832826746,0.40233153255615584,8225.0
2.0,accel,3,accuracy,0.5364908818477506,0.5364908818477506,0.5364908818477506,0.5364908818477506
2.0,accel,3,macro avg,0.5591029942793487,0.5824259037711963,0.5646959290993018,27363.0
2.0,accel,3,weighted avg,0.5347306259899448,0.5364908818477506,0.5290649434443687,27363.0
2.0,accel,4,locomotion,0.8812154696132597,0.41361426256077793,0.5629825722479594,3085.0
2.0,accel,4,stairs,0.5253405994550409,0.5499144324015972,0.5373467112597548,1753.0
2.0,accel,4,static,0.18277532112023584,0.33448940269749516,0.23638344226579522,2595.0
2.0,accel,4,eat_drink,0.4247569293281091,0.40117872807017546,0.41263128215972367,7296.0
2.0,accel,4,sports,0.5001661129568107,0.66866533422163,0.5722702651335171,4503.0
2.0,accel,4,upper_body,0.5197926484448633,0.40968181255416614,0.4582150522744582,8077.0
2.0,accel,4,accuracy,0.4524149547768135,0.4524149547768135,0.4524149547768135,0.4524149547768135
2.0,accel,4,macro avg,0.5056745134863866,0.4629239954176403,0.463304887556868,27309.0
2.0,accel,4,weighted avg,0.5003263955992591,0.4524149547768135,0.460678855639438,27309.0
2.0,accel,5,locomotion,0.9398186314921682,0.37157757496740546,0.5325858444288718,3068.0
2.0,accel,5,stairs,0.6070398153491056,0.7079407806191117,0.653619136377757,1486.0
2.0,accel,5,static,0.24087052748063445,0.1997552768430713,0.21839464882943144,3269.0
2.0,accel,5,eat_drink,0.5656487566035304,0.5442598561864617,0.5547482150755039,8066.0
2.0,accel,5,sports,0.5380473797559224,0.6708435891698367,0.5971516781197092,4469.0
2.0,accel,5,upper_body,0.3869340698931188,0.4629975571202759,0.42156221379039643,6959.0
2.0,accel,5,accuracy,0.49255042647435665,0.49255042647435665,0.49255042647435665,0.49255042647435665
2.0,accel,5,macro avg,0.5463931967624133,0.4928957724843604,0.49634362277027827,27317.0
