window_seconds,modality,fold,epoch,train_loss,train_accuracy
2.0,accel_gyro,1,1,0.9413260483036096,0.5617245487033813
2.0,accel_gyro,1,2,0.7207831703577712,0.6706771740126455
2.0,accel_gyro,1,3,0.6434971959564914,0.7116191697974892
2.0,accel_gyro,1,4,0.5934504745380804,0.7368642902959772
2.0,accel_gyro,1,5,0.5543643014422043,0.7571245303766151
2.0,accel_gyro,1,6,0.5173712489930037,0.7739485017868597
2.0,accel_gyro,1,7,0.49050542956299537,0.7837258315770183
2.0,accel_gyro,1,8,0.4638197722060755,0.7975258865573169
2.0,accel_gyro,1,9,0.44329806767014246,0.8090259323742326
2.0,accel_gyro,1,10,0.4258058286986888,0.817456244845597
2.0,accel_gyro,2,1,0.9397020608065739,0.5704820988389674
2.0,accel_gyro,2,2,0.7330468941673445,0.6691652844850495
2.0,accel_gyro,2,3,0.6502013431328654,0.7122710236696693
2.0,accel_gyro,2,4,0.5857453288541455,0.7454342188459318
2.0,accel_gyro,2,5,0.5394441500905989,0.7698003243926801
2.0,accel_gyro,2,6,0.5070471886570306,0.7852043948793608
2.0,accel_gyro,2,7,0.47329656110390195,0.8003243926800884
2.0,accel_gyro,2,8,0.4500294292610087,0.8119805364391947
2.0,accel_gyro,2,9,0.4296080351151137,0.8210891896597542
2.0,accel_gyro,2,10,0.4132550776770011,0.8276686796118284
2.0,accel_gyro,3,1,0.9441110023125096,0.5586795831229053
2.0,accel_gyro,3,2,0.7376676595116345,0.6566273357513429
2.0,accel_gyro,3,3,0.6564531612311955,0.6989578072632111
2.0,accel_gyro,3,4,0.6021228829224211,0.7289656122308434
2.0,accel_gyro,3,5,0.5646003267345916,0.749295257334374
2.0,accel_gyro,3,6,0.5292404192767356,0.7671548597401405
2.0,accel_gyro,3,7,0.5043736444311657,0.7811762545337679
2.0,accel_gyro,3,8,0.48025887039026155,0.7931499931132638
2.0,accel_gyro,3,9,0.45663901593538364,0.804141224002571
2.0,accel_gyro,3,10,0.4418732816082437,0.8125981359900831
2.0,accel_gyro,4,1,0.901669317230569,0.5879092135573931
2.0,accel_gyro,4,2,0.6910234867335558,0.6885801081140612
2.0,accel_gyro,4,3,0.6246336466270977,0.7185638634715811
2.0,accel_gyro,4,4,0.5816198143666359,0.7399296983268936
2.0,accel_gyro,4,5,0.540449594511873,0.7602584458374251
2.0,accel_gyro,4,6,0.5116612193555099,0.777274020503125
2.0,accel_gyro,4,7,0.48194480968016845,0.7912701107756128
2.0,accel_gyro,4,8,0.4546932928762424,0.8053212676327793
2.0,accel_gyro,4,9,0.4357961863742957,0.8125625235180205
2.0,accel_gyro,4,10,0.4189725838407596,0.8217219321029011
2.0,accel_gyro,5,1,0.9381720058567935,0.5606740644877055
2.0,accel_gyro,5,2,0.733189270512912,0.666629952914613
2.0,accel_gyro,5,3,0.6493069064369769,0.7084193811897092
2.0,accel_gyro,5,4,0.5907412245000467,0.7403695239144202
2.0,accel_gyro,5,5,0.5454856898904754,0.7612045782048811
2.0,accel_gyro,5,6,0.5137686972875186,0.7765142128112638
2.0,accel_gyro,5,7,0.4763185099772399,0.7957063266973227
2.0,accel_gyro,5,8,0.4495775456680227,0.808005433635304
2.0,accel_gyro,5,9,0.42731513711586877,0.8201485071270571
2.0,accel_gyro,5,10,0.4122527601517009,0.8267202687446651
