window_seconds,modality,fold,epoch,train_loss,train_accuracy
4.0,accel_gyro,1,1,0.9955237717031525,0.5308712155942273
4.0,accel_gyro,1,2,0.7504737124672497,0.6457007683421048
4.0,accel_gyro,1,3,0.6845438776034073,0.6822841215410852
4.0,accel_gyro,1,4,0.6185832669103506,0.7196193130764857
4.0,accel_gyro,1,5,0.6132513156812995,0.721306364953331
4.0,accel_gyro,1,6,0.5619736642540053,0.743953202647938
4.0,accel_gyro,1,7,0.5411679819285014,0.7539838263070068
4.0,accel_gyro,1,8,0.5266932872123726,0.7615755597528102
4.0,accel_gyro,1,9,0.5154165325838433,0.7702308693818422
4.0,accel_gyro,1,10,0.476240694792829,0.7871564007114958
4.0,accel_gyro,2,1,1.0008778784802133,0.5346649271420959
4.0,accel_gyro,2,2,0.7523927298568864,0.6432810863453446
4.0,accel_gyro,2,3,0.6815580552236894,0.6754561658183422
4.0,accel_gyro,2,4,0.6382252076547869,0.695007441980118
4.0,accel_gyro,2,5,0.5987419683771468,0.7181418937542493
4.0,accel_gyro,2,6,0.563170860744259,0.738134176145238
4.0,accel_gyro,2,7,0.5321964041553814,0.7541206519542089
4.0,accel_gyro,2,8,0.5123746979449301,0.7656786902114993
4.0,accel_gyro,2,9,0.4915182471638953,0.7779166130721596
4.0,accel_gyro,2,10,0.47007737277238465,0.787232869664284
4.0,accel_gyro,3,1,1.021856372480407,0.5210518594586665
4.0,accel_gyro,3,2,0.8013132789694082,0.6283833345558572
4.0,accel_gyro,3,3,0.7100415565748431,0.6769236411648206
4.0,accel_gyro,3,4,0.6513062852551562,0.7059708061321792
4.0,accel_gyro,3,5,0.6003296403780657,0.7274444362942859
4.0,accel_gyro,3,6,0.6217627316169009,0.7199442529157192
4.0,accel_gyro,3,7,0.5577737844708223,0.7539243013276609
4.0,accel_gyro,3,8,0.5193723068455559,0.775838040049879
4.0,accel_gyro,3,9,0.5267129149010585,0.7688879923714517
4.0,accel_gyro,3,10,0.48294950649060286,0.7927088681874862
4.0,accel_gyro,4,1,0.9847355318166672,0.5467435624288286
4.0,accel_gyro,4,2,0.7493092409156051,0.6608198949417772
4.0,accel_gyro,4,3,0.6697805020003702,0.6967821327553907
4.0,accel_gyro,4,4,0.6197843145790797,0.7202732983139257
4.0,accel_gyro,4,5,0.5803410277978646,0.7399808985049406
4.0,accel_gyro,4,6,0.5468461141458262,0.7540131506446754
4.0,accel_gyro,4,7,0.5228040561819481,0.7693127135143077
4.0,accel_gyro,4,8,0.5027687427592358,0.7767329096719685
4.0,accel_gyro,4,9,0.47844030152024736,0.788946846416633
4.0,accel_gyro,4,10,0.4624950228278057,0.7963486757521213
4.0,accel_gyro,5,1,1.004943825716696,0.5284879876570421
4.0,accel_gyro,5,2,0.7792219311868178,0.6351664095217103
4.0,accel_gyro,5,3,0.6868578471502299,0.6828851664095217
4.0,accel_gyro,5,4,0.6397780120114402,0.7073506722503857
4.0,accel_gyro,5,5,0.5966140799304843,0.7305855558004555
4.0,accel_gyro,5,6,0.5636292523372953,0.7496142825655719
4.0,accel_gyro,5,7,0.5337967734676325,0.7636837851737566
4.0,accel_gyro,5,8,0.49800584998700786,0.7808390272573653
4.0,accel_gyro,5,9,0.4814092226736464,0.7871207111894791
4.0,accel_gyro,5,10,0.4608964805375837,0.7972595694658732
