window_seconds,modality,fold,epoch,train_loss,train_accuracy
6.0,accel,1,1,1.0749826628384893,0.4966235770789118
6.0,accel,1,2,0.8693316476613374,0.590860229872385
6.0,accel,1,3,0.799539934098433,0.6311568038367189
6.0,accel,1,4,0.7353562216722453,0.6630467737934456
6.0,accel,1,5,0.6987440759477652,0.68573082329594
6.0,accel,1,6,0.6645719842934292,0.6990987017998401
6.0,accel,1,7,0.6258796696290828,0.718006670157934
6.0,accel,1,8,0.5980899471116333,0.7323116782889115
6.0,accel,1,9,0.5829500849735697,0.7377415175987432
6.0,accel,1,10,0.5729004778829405,0.7406907196604283
6.0,accel,2,1,1.0917214445470431,0.5015856382538676
6.0,accel,2,2,0.8926062723093439,0.5799299561536553
6.0,accel,2,3,0.8011976886948797,0.6288503433251523
6.0,accel,2,4,0.7399501910909994,0.6623279927198522
6.0,accel,2,5,0.6970122264815722,0.6813280754488046
6.0,accel,2,6,0.6573442230582799,0.6981496290985302
6.0,accel,2,7,0.6326587037029892,0.7136750958277032
6.0,accel,2,8,0.6079798105784543,0.729724512588589
6.0,accel,2,9,0.5805225893425684,0.7410859553815183
6.0,accel,2,10,0.5557265137978818,0.7544604693489232
6.0,accel,3,1,1.0802543791611285,0.4994358367504197
6.0,accel,3,2,0.8748455799665587,0.5862344167102402
6.0,accel,3,3,0.7914702430091485,0.6271568924237003
6.0,accel,3,4,0.7261673806801979,0.6634559815064535
6.0,accel,3,5,0.6815929527500812,0.6876462008421168
6.0,accel,3,6,0.6511764075079798,0.7023970058067535
6.0,accel,3,7,0.6220053575883154,0.7206703910614525
6.0,accel,3,8,0.5911545692442352,0.7396317802790544
6.0,accel,3,9,0.572083183065765,0.7457137353111154
6.0,accel,3,10,0.5587664427454655,0.7527313757327242
6.0,accel,4,1,1.0792715160327986,0.49733061808575046
6.0,accel,4,2,0.8766858050540952,0.5901260388573945
6.0,accel,4,3,0.7837741548478738,0.639028014750399
6.0,accel,4,4,0.7418219032865765,0.6624745445539105
6.0,accel,4,5,0.69632781167345,0.6853156475315098
6.0,accel,4,6,0.6634330421028418,0.7022400792558754
6.0,accel,4,7,0.6358317200899636,0.7140734217623425
6.0,accel,4,8,0.6208308353291012,0.7213660630744675
6.0,accel,4,9,0.5904297678457096,0.7363366173152073
6.0,accel,4,10,0.5705147313129476,0.7446749958720899
6.0,accel,5,1,1.0722022938121063,0.49590649722964963
6.0,accel,5,2,0.8884798321748386,0.5808914739366541
6.0,accel,5,3,0.82231337527382,0.6149075171596329
6.0,accel,5,4,0.7636128357720782,0.6495300052374783
6.0,accel,5,5,0.7112961145681186,0.6807619152631144
6.0,accel,5,6,0.6812109873497714,0.6975218457976128
6.0,accel,5,7,0.6451712089198478,0.7156324944179507
6.0,accel,5,8,0.6149362754239484,0.7358657000303223
6.0,accel,5,9,0.6026258303962232,0.7395870661851862
6.0,accel,5,10,0.5792674096498106,0.7497588003418144
