window_seconds,modality,fold,epoch,train_loss,train_accuracy
2.0,accel,1,1,0.9792317951456344,0.5488591588014294
2.0,accel,1,2,0.7865851255054381,0.6441766700265739
2.0,accel,1,3,0.7032865636968967,0.6878493539814899
2.0,accel,1,4,0.6464534313696437,0.715944286630624
2.0,accel,1,5,0.6097028316558363,0.7320076972418217
2.0,accel,1,6,0.575972391612412,0.7482727022816824
2.0,accel,1,7,0.5487571101773946,0.7608998442224869
2.0,accel,1,8,0.5236845853396868,0.7726931182992761
2.0,accel,1,9,0.5072539209183464,0.7822322001282873
2.0,accel,1,10,0.49233524145678464,0.7904151012553835
2.0,accel,2,1,0.988187895730298,0.5446039935121464
2.0,accel,2,2,0.797452618936124,0.64133532489668
2.0,accel,2,3,0.7070953248844407,0.6897926269392542
2.0,accel,2,4,0.6478194839630351,0.7225434585391333
2.0,accel,2,5,0.6022555710853681,0.745571673371393
2.0,accel,2,6,0.5656319399046791,0.7631017071852062
2.0,accel,2,7,0.5380958566103986,0.7750419236302657
2.0,accel,2,8,0.5152372692595832,0.7856442493608364
2.0,accel,2,9,0.49545568894918085,0.7929385028453086
2.0,accel,2,10,0.47056724463262295,0.8045305011591999
2.0,accel,3,1,0.9675329742218847,0.5451448510169413
2.0,accel,3,2,0.78060462883772,0.6386850925118223
2.0,accel,3,3,0.6986711742819836,0.6856250860842018
2.0,accel,3,4,0.6407422317004249,0.7149901290115238
2.0,accel,3,5,0.5940814932364361,0.7392406225609476
2.0,accel,3,6,0.5607149334437898,0.7594692622010009
2.0,accel,3,7,0.5324697791886972,0.7726367017125018
2.0,accel,3,8,0.5050320434299942,0.7864101740048667
2.0,accel,3,9,0.4872814910026858,0.7943896056195767
2.0,accel,3,10,0.4758069553843631,0.7995041549974748
2.0,accel,4,1,0.9637058659438746,0.5554749951816739
2.0,accel,4,2,0.7766281560327718,0.64893216714544
2.0,accel,4,3,0.6939397787779523,0.691048926660487
2.0,accel,4,4,0.643249154495142,0.7172606209675199
2.0,accel,4,5,0.5990684013080533,0.7404711864095669
2.0,accel,4,6,0.5649343086201022,0.7558622968272469
2.0,accel,4,7,0.5338671324948017,0.7715379179324333
2.0,accel,4,8,0.5038223496641717,0.786552740021476
2.0,accel,4,9,0.4860501120365951,0.7945832836204444
2.0,accel,4,10,0.4633367022190007,0.8041740471186409
2.0,accel,5,1,0.9825244060235676,0.5391873410982919
2.0,accel,5,2,0.8154262743434229,0.6293838514561592
2.0,accel,5,3,0.7255908404734451,0.6791309854888895
2.0,accel,5,4,0.6640699647105156,0.7137153399234518
2.0,accel,5,5,0.6162704577049988,0.7371111784196566
2.0,accel,5,6,0.5774726571433295,0.7538985415461996
2.0,accel,5,7,0.5498774718124322,0.7688226817560188
2.0,accel,5,8,0.5241962941612801,0.7802957292727923
2.0,accel,5,9,0.502636172130476,0.789272241649916
2.0,accel,5,10,0.4835347266372532,0.8007820029187432
