window_seconds,modality,fold,epoch,train_loss,train_accuracy
2.0,gyro,1,1,1.0256882406052272,0.5327407678915056
2.0,gyro,1,2,0.8754415951869254,0.6132227618436726
2.0,gyro,1,3,0.8316929396575414,0.6352606982497938
2.0,gyro,1,4,0.8023922381747995,0.6465866397874095
2.0,gyro,1,5,0.7775750652762585,0.6587097956565564
2.0,gyro,1,6,0.7575487212038909,0.6699074498304775
2.0,gyro,1,7,0.7401112045615182,0.6763767983139375
2.0,gyro,1,8,0.726314341854811,0.6819206451021718
2.0,gyro,1,9,0.7142536487564489,0.6862915788509117
2.0,gyro,1,10,0.6988228508928656,0.6928067442499771
2.0,gyro,2,1,1.0372891115257654,0.5272755596690095
2.0,gyro,2,2,0.8894707283361561,0.6047266029488577
2.0,gyro,2,3,0.8428178728596297,0.6312461627278309
2.0,gyro,2,4,0.8091245832264041,0.6475940876226781
2.0,gyro,2,5,0.7854152362381409,0.6595892858779221
2.0,gyro,2,6,0.7665796417794207,0.6671309575082244
2.0,gyro,2,7,0.7465853369474025,0.6755340108314166
2.0,gyro,2,8,0.7313353214977728,0.6831123370018419
2.0,gyro,2,9,0.7169749754204054,0.6881065180935974
2.0,gyro,2,10,0.7054029472438326,0.6951808443373317
2.0,gyro,3,1,1.0240863722621079,0.5384784904274368
2.0,gyro,3,2,0.8836663829624081,0.612644047564391
2.0,gyro,3,3,0.8378043887848466,0.6382902529727744
2.0,gyro,3,4,0.8066356915070506,0.6512556815573206
2.0,gyro,3,5,0.7792629173978576,0.6655800927413801
2.0,gyro,3,6,0.7584338651364141,0.6727055690739635
2.0,gyro,3,7,0.7449435731091724,0.6786097975299573
2.0,gyro,3,8,0.7275015592947243,0.6865800468298058
2.0,gyro,3,9,0.7148102844403437,0.692172076580506
2.0,gyro,3,10,0.704000616172124,0.6961480189155687
2.0,gyro,4,1,1.0135118855301974,0.5345588707679035
2.0,gyro,4,2,0.878001158727756,0.6066226745840179
2.0,gyro,4,3,0.8316478533512606,0.6313567488688405
2.0,gyro,4,4,0.8040145445432787,0.6445819069558274
2.0,gyro,4,5,0.7801058595808663,0.6555676905992163
2.0,gyro,4,6,0.7611502082848585,0.6647087436558705
2.0,gyro,4,7,0.7425330604917759,0.6722069769362787
2.0,gyro,4,8,0.725419349973425,0.6796868546884608
2.0,gyro,4,9,0.7107794525106721,0.6873135766664525
2.0,gyro,4,10,0.6972214770596723,0.6925907910314889
2.0,gyro,5,1,1.0218762802623185,0.5288524198951823
2.0,gyro,5,2,0.8797005718142198,0.6047213885141026
2.0,gyro,5,3,0.8340299865606264,0.6319997062899836
2.0,gyro,5,4,0.8022440992322207,0.6477315490449835
2.0,gyro,5,5,0.7769161895418201,0.6608842507182128
2.0,gyro,5,6,0.7631946943969133,0.6637938155684665
2.0,gyro,5,7,0.7434632165375233,0.6746886214903948
2.0,gyro,5,8,0.7306391953767692,0.6802966471165937
2.0,gyro,5,9,0.7110667412287011,0.6888693082211269
2.0,gyro,5,10,0.7016123104372937,0.6931831740874338
