,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1014,216,0,0,313,0
stairs,54,463,5,4,331,18
static,0,0,258,681,12,344
eat_drink,0,0,706,1842,7,1094
sports,15,16,26,108,1628,457
upper_body,0,16,277,1326,290,2127
