,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1060,167,0,0,123,2
stairs,39,616,0,2,116,2
static,1,1,508,674,53,572
eat_drink,3,0,446,1980,28,1107
sports,19,115,30,99,1375,425
upper_body,38,85,477,1249,142,2119
