,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,645,136,0,0,116,1
stairs,8,366,0,2,67,5
static,0,0,272,264,49,564
eat_drink,0,0,447,1477,51,629
sports,17,11,0,19,1100,89
upper_body,24,11,290,1126,129,1122
