,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1132,195,0,0,215,1
stairs,82,427,3,5,313,45
static,1,0,249,729,27,289
eat_drink,0,1,921,1601,6,1120
sports,36,34,41,12,1690,437
upper_body,3,18,287,1546,355,1827
