,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,802,85,0,1,9,1
stairs,23,351,0,2,69,3
static,0,1,13,832,39,264
eat_drink,65,0,23,2287,13,216
sports,68,92,2,9,953,112
upper_body,11,36,42,1554,119,940
