,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1063,1060,0,1,875,69
stairs,14,907,0,7,545,13
static,0,5,234,2115,97,818
eat_drink,2,52,270,5904,233,1605
sports,20,420,8,23,3356,642
upper_body,1,41,122,2214,690,3891
