,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1895,526,0,0,281,3
stairs,159,1163,0,1,212,13
static,0,3,1084,1378,138,1022
eat_drink,3,0,765,4741,96,1704
sports,251,252,113,97,2967,271
upper_body,14,76,1876,2627,802,2830
