,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1084,186,0,0,78,4
stairs,19,650,0,18,74,14
static,0,4,472,631,50,652
eat_drink,1,1,440,1944,12,1166
sports,60,94,32,97,1336,444
upper_body,38,46,518,1669,103,1736
