,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,2192,285,0,0,139,53
stairs,143,969,0,0,216,19
static,1,2,907,978,52,1288
eat_drink,1,1,673,4191,41,2891
sports,113,179,43,89,2387,1308
upper_body,0,1,1388,2856,188,3544
