,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1113,316,0,0,106,1
stairs,35,595,0,3,107,2
static,2,0,467,583,26,555
eat_drink,22,20,124,2334,58,1473
sports,78,67,66,19,1575,425
upper_body,10,7,326,1139,263,1733
