,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,679,190,0,0,82,72
stairs,23,351,0,1,95,27
static,1,1,4,947,7,127
eat_drink,8,10,3,2438,102,125
sports,19,130,0,31,948,357
upper_body,0,5,4,1115,113,1082
