,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1764,359,0,2,559,15
stairs,39,932,0,1,292,81
static,0,4,1341,354,42,1715
eat_drink,3,1,1563,3636,11,2604
sports,51,221,85,13,2632,711
upper_body,1,7,1256,2118,302,4426
