,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,796,131,0,0,23,7
stairs,71,380,0,1,135,22
static,0,0,221,497,11,176
eat_drink,0,0,501,1061,154,794
sports,34,42,2,4,1054,248
upper_body,0,1,426,1286,97,918
