,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,909,118,0,0,313,8
stairs,35,326,0,0,288,22
static,0,0,571,163,107,887
eat_drink,0,0,373,2529,32,973
sports,18,26,1,0,1622,186
upper_body,9,13,355,1500,313,1865
