,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,2042,312,1,3,320,21
stairs,58,1048,0,4,158,77
static,0,2,1430,423,109,1492
eat_drink,0,0,1383,4120,15,2300
sports,109,292,44,28,2411,829
upper_body,0,37,1409,2565,556,3543
