,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,2255,282,0,4,151,13
stairs,226,963,0,24,298,37
static,3,6,105,2884,110,517
eat_drink,19,10,55,6321,111,793
sports,226,275,33,90,2679,648
upper_body,47,86,176,5083,509,2324
