,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,649,256,0,0,118,0
stairs,37,381,0,0,78,1
static,0,0,202,432,30,423
eat_drink,0,1,15,1652,35,983
sports,8,74,0,33,1001,369
upper_body,0,9,71,844,203,1192
