,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1022,228,0,0,101,1
stairs,55,633,0,2,82,3
static,0,0,400,657,80,672
eat_drink,0,0,410,1863,101,1190
sports,72,112,2,88,1393,396
upper_body,7,56,526,1575,244,1702
