,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1137,95,0,0,304,0
stairs,50,512,0,0,170,10
static,1,0,349,488,38,757
eat_drink,4,4,140,2461,31,1391
sports,21,62,83,77,1438,549
upper_body,0,8,467,1196,213,1594
