,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1186,28,0,1,133,0
stairs,102,414,0,2,124,29
static,0,0,718,239,25,746
eat_drink,0,0,419,2725,3,760
sports,40,66,114,2,1400,231
upper_body,4,3,585,1625,347,1491
