,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,603,260,0,0,34,2
stairs,55,396,0,0,43,19
static,0,0,325,450,35,394
eat_drink,0,0,99,1429,2,847
sports,63,96,13,86,823,296
upper_body,0,3,290,1355,71,1022
