,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,980,88,0,0,278,2
stairs,95,347,0,0,221,8
static,1,3,11,231,61,1421
eat_drink,1,0,50,1013,16,2827
sports,11,28,3,0,1667,144
upper_body,32,0,6,190,422,3405
