,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,704,149,1,0,89,14
stairs,24,334,0,1,226,24
static,0,0,268,335,43,259
eat_drink,0,0,518,943,76,973
sports,14,14,1,4,960,391
upper_body,0,0,511,1065,252,900
