,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,719,453,0,0,365,6
stairs,36,515,1,0,288,35
static,0,0,269,711,13,302
eat_drink,0,2,669,2005,27,946
sports,11,36,32,105,1624,442
upper_body,3,36,322,1756,362,1557
