,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,647,326,0,0,48,2
stairs,35,385,0,0,73,4
static,1,1,339,453,12,281
eat_drink,11,12,108,1841,36,678
sports,41,84,72,2,878,408
upper_body,5,0,340,856,117,1001
