,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,795,81,0,1,22,0
stairs,22,387,0,0,96,8
static,0,0,0,926,15,263
eat_drink,0,0,0,2044,15,318
sports,32,55,0,4,1057,229
upper_body,78,23,0,1358,106,1176
