,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1137,102,0,0,94,2
stairs,39,519,0,0,110,5
static,0,0,509,605,49,452
eat_drink,0,1,344,1743,230,1671
sports,58,44,0,93,1532,241
upper_body,0,1,627,1756,249,1348
