,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,989,45,0,1,312,1
stairs,59,268,0,1,320,23
static,2,0,619,183,48,876
eat_drink,0,0,322,2384,13,1188
sports,24,13,66,0,1622,128
upper_body,45,1,293,1706,287,1723
