,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,770,65,0,0,69,55
stairs,95,220,0,4,89,20
static,0,0,4,884,8,133
eat_drink,2,0,4,2242,2,328
sports,70,111,1,108,1000,130
upper_body,2,15,0,1168,177,1260
