,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,538,193,0,2,161,63
stairs,13,257,0,11,307,21
static,0,0,27,391,46,441
eat_drink,0,0,50,1285,9,1166
sports,4,29,0,14,1127,210
upper_body,1,0,41,454,149,2083
