,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,495,218,0,0,574,48
stairs,3,526,0,0,144,0
static,0,50,216,677,85,587
eat_drink,0,45,274,1159,234,2277
sports,4,126,1,72,1474,291
upper_body,0,53,429,1283,339,1877
