,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1140,559,0,0,1332,37
stairs,28,1052,0,0,367,39
static,0,0,653,1265,87,1264
eat_drink,0,15,1012,4390,48,2601
sports,44,93,29,141,2998,1164
upper_body,1,14,1017,1965,740,3222
