,locomotion,stairs,static,eat_drink,sports,upper_body
locomotion,1761,938,0,0,369,0
stairs,74,1095,0,0,309,8
static,0,3,688,1204,81,1293
eat_drink,26,41,1164,4370,117,2348
sports,90,240,17,108,3176,838
upper_body,9,28,632,1910,748,3632
